u_neighborhood,u_hr_0,u_hr_1,u_hr_2,u_hr_3,u_hr_4,u_hr_5,u_hr_6,u_hr_7,u_hr_8,u_hr_9,u_hr_10,u_hr_11,u_hr_12,u_hr_13,u_hr_14,u_hr_15,u_hr_16,u_hr_17,u_hr_18,u_hr_19,u_hr_20,u_hr_21,u_hr_22,u_hr_23
Battery Park City,54,28,17,51,86,123,167,193,208,195,204,214,201,238,282,414,541,614,603,489,313,220,175,87
Central Park,26,6,5,15,28,44,175,242,202,174,161,163,155,187,252,347,362,285,295,174,142,166,120,76
Chelsea,1046,866,618,537,410,503,995,1602,1473,1187,1262,1391,1434,1717,2198,3083,3885,4189,3768,3029,3155,3367,2762,1665
Chinatown,115,92,84,56,31,46,84,106,139,118,104,125,124,138,123,169,192,214,239,234,241,275,222,168
Civic Center,25,11,16,6,12,27,17,41,53,41,47,49,55,69,83,140,80,82,85,92,55,38,41,41
East Harlem,43,15,16,37,40,63,61,100,101,100,85,85,100,115,136,128,157,152,116,107,107,125,80,57
East Village,981,540,312,252,238,391,883,1571,1647,756,513,555,530,540,681,830,904,1000,1067,1087,1028,1316,1486,1366
Ellis Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial District,289,165,100,136,210,252,297,290,349,370,427,512,522,622,830,1108,1255,1290,1239,1206,1029,895,671,486
Flatiron District,155,103,49,45,27,105,146,183,210,202,258,288,337,464,536,803,1060,1152,971,775,684,763,490,347
Governors Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gramercy,195,108,73,70,91,138,280,526,503,248,253,240,306,351,459,556,559,553,628,607,592,618,664,480
Greenwich Village,463,273,108,121,123,199,381,641,541,380,346,429,418,507,644,846,920,1060,1087,1106,1185,1406,1397,1041
Harlem,80,69,34,60,95,104,133,134,131,116,114,110,117,118,127,134,143,200,168,177,213,222,176,134
Hell's Kitchen,367,242,196,238,283,301,569,1081,928,710,662,728,700,755,887,1157,1380,1442,1325,1120,1226,1504,1240,632
Inwood,8,5,4,8,3,5,7,10,10,11,7,10,15,17,10,9,9,13,2,5,14,13,13,12
Kips Bay,95,52,44,72,99,114,204,451,451,199,188,171,219,199,251,319,322,347,414,397,320,272,289,181
Liberty Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Italy,37,25,12,17,12,24,43,45,50,39,44,52,46,55,85,86,69,85,99,110,133,117,75,51
Lower East Side,545,604,323,175,122,210,295,571,521,373,318,326,313,348,394,528,508,487,601,611,677,728,683,670
Marble Hill,1,0,0,0,0,0,0,0,0,2,0,1,0,3,2,4,1,2,1,1,1,0,1,1
Midtown,985,642,347,421,434,616,992,1550,1800,2024,2585,2971,3156,3811,4644,7031,9907,11147,9602,8376,7113,5615,3636,2028
Morningside Heights,23,10,6,24,27,22,29,17,42,58,45,62,57,87,81,78,103,95,91,115,87,72,59,58
Murray Hill,116,49,50,60,64,119,212,379,371,296,274,354,356,361,452,634,811,1050,933,758,543,415,297,166
NoHo,282,155,66,30,30,85,155,198,153,128,130,138,142,202,294,321,329,407,359,353,447,575,569,448
Nolita,154,78,57,41,49,71,99,131,163,112,99,111,143,164,244,212,237,276,312,306,340,344,278,208
Randall's Island,0,1,0,0,0,0,1,0,3,2,6,5,12,8,10,8,16,18,10,8,1,1,0,0
Roosevelt Island,4,1,1,9,3,7,4,4,3,4,7,1,3,5,5,4,5,1,9,7,3,7,3,5
SoHo,468,265,148,143,164,269,579,801,748,704,839,843,926,1157,1402,1892,2271,2628,2399,2039,1650,1666,1301,894
Stuyvesant Town,22,30,14,27,40,93,274,355,362,114,98,80,75,60,105,95,96,112,150,123,80,71,73,62
Theater District,266,146,87,79,69,120,177,278,333,365,448,477,516,564,668,1059,1469,1378,1131,1274,1703,1968,1185,561
Tribeca,358,197,105,164,165,265,543,612,631,565,678,596,666,681,781,1027,1295,1536,1647,1446,1325,1289,1181,640
Two Bridges,7,7,2,2,5,7,21,19,22,10,12,12,21,8,12,10,26,21,27,25,14,14,16,9
Upper East Side,343,173,154,300,400,752,2972,3975,2983,2061,1918,1903,1785,2234,2657,3728,3871,3797,3638,2740,1964,1704,1184,692
Upper West Side,208,129,98,252,364,723,2030,2540,2032,1277,1025,1042,897,1020,1202,1435,1659,1687,1545,1248,1041,1101,940,394
Washington Heights,24,17,18,23,24,52,37,47,42,56,48,62,57,46,54,51,81,70,61,50,55,76,62,32
West Village,1206,924,497,327,305,529,1078,1314,1021,689,650,646,714,797,971,1251,1513,1639,1729,1887,1888,2602,2755,2085
